i,s_i,w_i
0,0,0
1,90000,90000
2,90000,100001
3,90000,110253
4,90000,120756
5,90000,131510
6,90000,41510
7,90000,54774
8,90000,67787
9,90000,80549
10,93060,93060
11,93060,83059
12,95319,95319
13,95319,85067
14,97076,97076
15,97076,86573
16,98331,98331
17,98331,87577
18,99084,99084
19,99084,87075
20,99084,98331
334,99084,98080
667,99084,87577
1000,99084,98331
1333,99084,86071
1666,99084,98582
1999,99084,87075
2332,99084,97578
2665,99084,86824
2998,99084,99084
3331,99084,86573
3664,99084,98080
3997,99084,87577
4330,99084,98331
4663,99084,86071
4996,99084,98582
5329,99084,87075
5662,99084,97578
5995,99084,86824
6328,99084,99084
6661,99084,86573
6994,99084,98080
7327,99084,87577
7660,99084,98331
7993,99084,86071
8326,99084,98582
8659,99084,87075
8992,99084,97578
9325,99084,86824
9658,99084,99084
9991,99084,86573
10324,99084,98080
10657,99084,87577
10990,99084,98331
11323,99084,86071
11656,99084,98582
11989,99084,87075
12322,99084,97578
12655,99084,86824
12988,99084,99084
13321,99084,86573
13654,99084,98080
13987,99084,87577
14320,99084,98331
14653,99084,86071
14986,99084,98582
15319,99084,87075
15652,99084,97578
15985,99084,86824
16318,99084,99084
16651,99084,86573
16984,99084,98080
17317,99084,87577
17650,99084,98331
17983,99084,86071
18316,99084,98582
18649,99084,87075
18982,99084,97578
19315,99084,86824
19648,99084,99084
19981,99084,86573
20314,99084,98080
20647,99084,87577
20980,99084,98331
21313,99084,86071
21646,99084,98582
21979,99084,87075
22312,99084,97578
22645,99084,86824
22978,99084,99084
23311,99084,86573
23644,99084,98080
23977,99084,87577
24310,99084,98331
24643,99084,86071
24976,99084,98582
25309,99084,87075
25642,99084,97578
25975,99084,86824
26308,99084,99084
26641,99084,86573
26974,99084,98080
27307,99084,87577
27640,99084,98331
27973,99084,86071
28306,99084,98582
28639,99084,87075
28972,99084,97578
29305,99084,86824
29638,99084,99084
29971,99084,86573
30304,99084,98080
30637,99084,87577
30970,99084,98331
31303,99084,86071
31636,99084,98582
31969,99084,87075
32302,99084,97578
32635,99084,86824
32968,99084,99084
33301,99084,86573
33333,99084,86071
