i,s_i,w_i
0,0,0
1,15,15
2,19,19
3,19,27
4,19,12
5,19,8
6,19,18
7,19,10
8,19,14
9,19,4
10,19,19
11,19,15
12,19,23
13,19,8
14,19,18
15,19,10
16,19,14
17,19,4
18,19,19
19,19,15
20,19,23
2501,19,8
5001,19,4
7501,19,8
10001,19,4
12501,19,8
15001,19,4
17501,19,8
20001,19,4
22501,19,8
25001,19,4
27501,19,8
30001,19,4
32501,19,8
35001,19,4
37501,19,8
40001,19,4
42501,19,8
45001,19,4
47501,19,8
50001,19,4
52501,19,8
55001,19,4
57501,19,8
60001,19,4
62501,19,8
65001,19,4
67501,19,8
70001,19,4
72501,19,8
75001,19,4
77501,19,8
80001,19,4
82501,19,8
85001,19,4
87501,19,8
90001,19,4
92501,19,8
95001,19,4
97501,19,8
100001,19,4
102501,19,8
105001,19,4
107501,19,8
110001,19,4
112501,19,8
115001,19,4
117501,19,8
120001,19,4
122501,19,8
125001,19,4
127501,19,8
130001,19,4
132501,19,8
135001,19,4
137501,19,8
140001,19,4
142501,19,8
145001,19,4
147501,19,8
150001,19,4
152501,19,8
155001,19,4
157501,19,8
160001,19,4
162501,19,8
165001,19,4
167501,19,8
170001,19,4
172501,19,8
175001,19,4
177501,19,8
180001,19,4
182501,19,8
185001,19,4
187501,19,8
190001,19,4
192501,19,8
195001,19,4
197501,19,8
200001,19,4
202501,19,8
205001,19,4
207501,19,8
210001,19,4
212501,19,8
215001,19,4
217501,19,8
220001,19,4
222501,19,8
225001,19,4
227501,19,8
230001,19,4
232501,19,8
235001,19,4
237501,19,8
240001,19,4
242501,19,8
245001,19,4
247501,19,8
250000,19,14
