i,s_i,w_i
0,0,0
1,565204,565204
2,1130408,1130408
3,1305092,1305092
4,1326096,1326096
5,1333559,1333559
6,1333671,1333671
7,1333671,1333671
8,1333671,768467
9,1333671,1296175
10,1333671,1328027
11,1333671,1332627
12,1333671,1332999
13,1333671,1332887
14,1333671,1332964
15,1333671,1332964
16,1333671,1332964
17,1333671,1325501
18,1333671,1332713
19,1333671,1332713
20,1333671,1332341
101,1333671,1332691
201,1333671,1332748
301,1333671,1332748
401,1333671,1332713
501,1333671,1332740
601,1333671,1332718
701,1333671,1332691
801,1333671,1332748
901,1333671,1332748
1001,1333671,1332713
1101,1333671,1332740
1201,1333671,1332718
1301,1333671,1332691
1401,1333671,1332748
1501,1333671,1332748
1601,1333671,1332713
1701,1333671,1332740
1801,1333671,1332718
1901,1333671,1332691
2001,1333671,1332748
2101,1333671,1332748
2201,1333671,1332713
2301,1333671,1332740
2401,1333671,1332718
2501,1333671,1332691
2601,1333671,1332748
2701,1333671,1332748
2801,1333671,1332713
2901,1333671,1332740
3001,1333671,1332718
3101,1333671,1332691
3201,1333671,1332748
3301,1333671,1332748
3401,1333671,1332713
3501,1333671,1332740
3601,1333671,1332718
3701,1333671,1332691
3801,1333671,1332748
3901,1333671,1332748
4001,1333671,1332713
4101,1333671,1332740
4201,1333671,1332718
4301,1333671,1332691
4401,1333671,1332748
4501,1333671,1332748
4601,1333671,1332713
4701,1333671,1332740
4801,1333671,1332718
4901,1333671,1332691
5001,1333671,1332748
5101,1333671,1332748
5201,1333671,1332713
5301,1333671,1332740
5401,1333671,1332718
5501,1333671,1332691
5601,1333671,1332748
5701,1333671,1332748
5801,1333671,1332713
5901,1333671,1332740
6001,1333671,1332718
6101,1333671,1332691
6201,1333671,1332748
6301,1333671,1332748
6401,1333671,1332713
6501,1333671,1332740
6601,1333671,1332718
6701,1333671,1332691
6801,1333671,1332748
6901,1333671,1332748
7001,1333671,1332713
7101,1333671,1332740
7201,1333671,1332718
7301,1333671,1332691
7401,1333671,1332748
7501,1333671,1332748
7601,1333671,1332713
7701,1333671,1332740
7801,1333671,1332718
7901,1333671,1332691
8001,1333671,1332748
8101,1333671,1332748
8201,1333671,1332713
8301,1333671,1332740
8401,1333671,1332718
8501,1333671,1332691
8601,1333671,1332748
8701,1333671,1332748
8801,1333671,1332713
8901,1333671,1332740
9001,1333671,1332718
9101,1333671,1332691
9201,1333671,1332748
9301,1333671,1332748
9401,1333671,1332713
9501,1333671,1332740
9601,1333671,1332718
9701,1333671,1332691
9801,1333671,1332748
9901,1333671,1332748
10000,1333671,1332713
