i,s_i,w_i
0,0,0
1,2114,2114
2,4169,4169
3,6215,6215
4,8185,8185
5,10129,10129
6,10491,10491
7,10547,10547
8,10547,8433
9,10547,10337
10,10547,10478
11,10547,10480
12,10547,8536
13,10547,10414
14,10547,10546
15,10589,10589
16,10589,10533
17,10589,10586
18,10589,10584
19,10589,10443
20,10589,10515
101,10589,10517
201,10589,10564
301,10589,10572
401,10589,10575
501,10589,10539
601,10589,10584
701,10589,10484
801,10589,10481
901,10589,10551
1001,10589,10564
1101,10589,10572
1201,10589,10575
1301,10589,10505
1401,10589,10584
1501,10589,10484
1601,10589,10535
1701,10589,10551
1801,10589,10564
1901,10589,10572
2001,10589,10521
2101,10589,10505
2201,10589,10584
2301,10589,10533
2401,10589,10535
2501,10589,10551
2601,10589,10564
2701,10589,10523
2801,10589,10521
2901,10589,10505
3001,10589,10539
3101,10589,10533
3201,10589,10535
3301,10589,10551
3401,10589,10517
3501,10589,10523
3601,10589,10521
3701,10589,10575
3801,10589,10539
3901,10589,10533
4001,10589,10535
4101,10589,10481
4201,10589,10517
4301,10589,10523
4401,10589,10572
4501,10589,10575
4601,10589,10539
4701,10589,10533
4801,10589,10484
4901,10589,10481
5001,10589,10517
5101,10589,10564
5201,10589,10572
5301,10589,10575
5401,10589,10539
5501,10589,10584
5601,10589,10484
5701,10589,10481
5801,10589,10551
5901,10589,10564
6001,10589,10572
6101,10589,10575
6201,10589,10505
6301,10589,10584
6401,10589,10484
6501,10589,10535
6601,10589,10551
6701,10589,10564
6801,10589,10572
6901,10589,10521
7001,10589,10505
7101,10589,10584
7201,10589,10533
7301,10589,10535
7401,10589,10551
7501,10589,10564
7601,10589,10523
7701,10589,10521
7801,10589,10505
7901,10589,10539
8001,10589,10533
8101,10589,10535
8201,10589,10551
8301,10589,10517
8401,10589,10523
8501,10589,10521
8601,10589,10575
8701,10589,10539
8801,10589,10533
8901,10589,10535
9001,10589,10481
9101,10589,10517
9201,10589,10523
9301,10589,10572
9401,10589,10575
9501,10589,10539
9601,10589,10533
9701,10589,10484
9801,10589,10481
9901,10589,10517
10000,10589,10566
