i,s_i,w_i
0,0,0
1,21495,21495
2,42511,42511
3,63499,63499
4,84447,84447
5,105372,105372
6,107767,107767
7,107768,107768
8,107768,107806
9,107768,107857
10,107768,107920
11,107768,86425
12,107768,107277
13,108009,108009
14,108009,87061
15,108009,107347
16,108009,107712
17,108009,107711
18,108009,107673
19,108009,107622
20,108009,107706
21,108009,107643
31,108009,107823
41,108009,107492
51,108009,107907
61,108009,107229
71,108009,107782
81,108009,107916
91,108009,107945
101,108009,107811
111,108009,105344
121,108009,107567
131,108009,107670
141,108009,107653
151,108009,107796
161,108009,107805
171,108009,107805
181,108009,107806
191,108009,107743
201,108009,107789
211,108009,107570
221,108009,107834
231,108009,107636
241,108009,107642
251,108009,107794
261,108009,107812
271,108009,107760
281,108009,107778
291,108009,107847
301,108009,107693
311,108009,107787
321,108009,107824
331,108009,107824
341,108009,107580
351,108009,107789
361,108009,107784
371,108009,107722
381,108009,107795
391,108009,107123
401,108009,107794
411,108009,107656
421,108009,107780
431,108009,107809
441,108009,107528
451,108009,107806
461,108009,107615
471,108009,107784
481,108009,107722
491,108009,107795
501,108009,107123
511,108009,107794
521,108009,107656
531,108009,107780
541,108009,107809
551,108009,107528
561,108009,107806
571,108009,107615
581,108009,107784
591,108009,107722
601,108009,107795
611,108009,107123
621,108009,107794
631,108009,107656
641,108009,107780
651,108009,107809
661,108009,107528
671,108009,107806
681,108009,107615
691,108009,107784
701,108009,107722
711,108009,107795
721,108009,107123
731,108009,107794
741,108009,107656
751,108009,107780
761,108009,107809
771,108009,107528
781,108009,107806
791,108009,107615
801,108009,107784
811,108009,107722
821,108009,107795
831,108009,107123
841,108009,107794
851,108009,107656
861,108009,107780
871,108009,107809
881,108009,107528
891,108009,107806
901,108009,107615
911,108009,107784
921,108009,107722
931,108009,107795
941,108009,107123
951,108009,107794
961,108009,107656
971,108009,107780
981,108009,107809
991,108009,107528
1000,108009,107615
