i,s_i,w_i
0,0,0
1,16553,16553
2,23974,23974
3,23974,24295
4,23974,24665
5,23974,25054
6,23974,25711
7,23974,9158
8,23974,22662
9,23974,22341
10,23974,23363
11,23974,22993
12,23974,22604
13,23974,23504
14,23974,22847
15,23974,23536
16,23974,22514
17,23974,23476
18,23974,16055
19,23974,22064
20,23974,23325
223,23974,22549
445,23974,22209
667,23974,22162
889,23974,22363
1111,23974,22505
1333,23974,22146
1555,23974,22151
1777,23974,22427
1999,23974,22531
2221,23974,22114
2443,23974,22067
2665,23974,22432
2887,23974,22574
3109,23974,22215
3331,23974,22074
3553,23974,22350
3775,23974,22549
3997,23974,22209
4219,23974,22162
4441,23974,22363
4663,23974,22505
4885,23974,22146
5107,23974,22151
5329,23974,22427
5551,23974,22531
5773,23974,22114
5995,23974,22067
6217,23974,22432
6439,23974,22574
6661,23974,22215
6883,23974,22074
7105,23974,22350
7327,23974,22549
7549,23974,22209
7771,23974,22162
7993,23974,22363
8215,23974,22505
8437,23974,22146
8659,23974,22151
8881,23974,22427
9103,23974,22531
9325,23974,22114
9547,23974,22067
9769,23974,22432
9991,23974,22574
10213,23974,22215
10435,23974,22074
10657,23974,22350
10879,23974,22549
11101,23974,22209
11323,23974,22162
11545,23974,22363
11767,23974,22505
11989,23974,22146
12211,23974,22151
12433,23974,22427
12655,23974,22531
12877,23974,22114
13099,23974,22067
13321,23974,22432
13543,23974,22574
13765,23974,22215
13987,23974,22074
14209,23974,22350
14431,23974,22549
14653,23974,22209
14875,23974,22162
15097,23974,22363
15319,23974,22505
15541,23974,22146
15763,23974,22151
15985,23974,22427
16207,23974,22531
16429,23974,22114
16651,23974,22067
16873,23974,22432
17095,23974,22574
17317,23974,22215
17539,23974,22074
17761,23974,22350
17983,23974,22549
18205,23974,22209
18427,23974,22162
18649,23974,22363
18871,23974,22505
19093,23974,22146
19315,23974,22151
19537,23974,22427
19759,23974,22531
19981,23974,22114
20203,23974,22067
20425,23974,22432
20647,23974,22574
20869,23974,22215
21091,23974,22074
21313,23974,22350
21535,23974,22549
21757,23974,22209
21979,23974,22162
22201,23974,22363
22222,23974,23220
