i,s_i,w_i
0,0,0
1,90000,90000
2,90000,100001
3,90000,110253
4,90000,120756
5,90000,131510
6,90000,142515
7,90000,153771
8,90000,63771
9,90000,85820
10,99837,99837
11,99837,89836
12,99837,79584
13,99837,99625
14,99837,89122
15,99837,78368
16,99837,99664
17,99837,88659
18,99837,98660
19,99837,87404
20,99837,99664
101,99837,99703
201,99837,99452
301,99837,99703
401,99837,99703
501,99837,99452
601,99837,99452
701,99837,99703
801,99837,99703
901,99837,99703
1001,99837,99452
1101,99837,99452
1201,99837,99452
1301,99837,98950
1401,99837,99703
1501,99837,99703
1601,99837,99452
1701,99837,99703
1801,99837,99703
1901,99837,99201
2001,99837,99703
2101,99837,99703
2201,99837,99452
2301,99837,99452
2401,99837,99703
2501,99837,99201
2601,99837,99452
2701,99837,99201
2801,99837,99703
2901,99837,98950
3001,99837,99452
3101,99837,99703
3201,99837,99703
3301,99837,99452
3401,99837,99201
3501,99837,99703
3601,99837,99703
3701,99837,99452
3801,99837,99703
3901,99837,99452
4001,99837,99452
4101,99837,99201
4201,99837,99703
4301,99837,99703
4401,99837,99201
4501,99837,99703
4601,99837,99703
4701,99837,98699
4801,99837,99452
4901,99837,99452
5001,99837,99703
5101,99837,99703
5201,99837,99703
5301,99837,99452
5401,99837,99452
5501,99837,99703
5601,99837,99703
5701,99837,99703
5801,99837,99452
5901,99837,99452
6001,99837,99703
6101,99837,99703
6201,99837,99703
6301,99837,99703
6401,99837,99201
6501,99837,99452
6601,99837,99452
6701,99837,99703
6801,99837,99703
6901,99837,99201
7001,99837,99703
7101,99837,99452
7201,99837,99452
7301,99837,99703
7401,99837,99452
7501,99837,99452
7601,99837,99703
7701,99837,99452
7801,99837,99201
7901,99837,99703
8001,99837,99703
8101,99837,99452
8201,99837,99703
8301,99837,99201
8401,99837,99703
8501,99837,99452
8601,99837,99703
8701,99837,99703
8801,99837,99452
8901,99837,99452
9001,99837,99201
9101,99837,99703
9201,99837,99452
9301,99837,99452
9401,99837,99703
9501,99837,99452
9601,99837,99703
9701,99837,99201
9801,99837,99452
9901,99837,99452
10000,99837,81921
