i,s_i,w_i
0,0,0
1,100187136,100187136
2,106448832,106448832
3,106840188,106840188
4,106910966,106910966
5,106910966,106956242
6,106910966,107043153
7,106910966,107133705
8,106910966,6946569
9,106910966,101803785
10,106910966,106716585
11,106912263,106912263
12,106912263,106866987
13,106912263,106796209
14,106922150,106922150
15,106922150,106835239
16,106922150,106744687
17,106922150,106918509
18,106922150,106722831
19,106922150,106908099
20,106922150,106516743
39,106924227,106924227
95,106924227,106924227
189,106924227,106913817
283,106924227,106922145
377,106924227,106915899
471,106924227,106908617
565,106924227,106919027
659,106924227,106910699
753,106924227,106916945
847,106924227,106924227
941,106924227,106913817
1035,106924227,106922145
1129,106924227,106915899
1223,106924227,106908617
1317,106924227,106919027
1411,106924227,106910699
1505,106924227,106916945
1599,106924227,106924227
1693,106924227,106913817
1787,106924227,106922145
1881,106924227,106915899
1975,106924227,106908617
2069,106924227,106919027
2163,106924227,106910699
2257,106924227,106916945
2351,106924227,106924227
2445,106924227,106913817
2539,106924227,106922145
2633,106924227,106915899
2727,106924227,106908617
2821,106924227,106919027
2915,106924227,106910699
3009,106924227,106916945
3103,106924227,106924227
3197,106924227,106913817
3291,106924227,106922145
3385,106924227,106915899
3479,106924227,106908617
3573,106924227,106919027
3667,106924227,106910699
3761,106924227,106916945
3855,106924227,106924227
3949,106924227,106913817
4043,106924227,106922145
4137,106924227,106915899
4231,106924227,106908617
4325,106924227,106919027
4419,106924227,106910699
4513,106924227,106916945
4607,106924227,106924227
4701,106924227,106913817
4795,106924227,106922145
4889,106924227,106915899
4983,106924227,106908617
5077,106924227,106919027
5171,106924227,106910699
5265,106924227,106916945
5359,106924227,106924227
5453,106924227,106913817
5547,106924227,106922145
5641,106924227,106915899
5735,106924227,106908617
5829,106924227,106919027
5923,106924227,106910699
6017,106924227,106916945
6111,106924227,106924227
6205,106924227,106913817
6299,106924227,106922145
6393,106924227,106915899
6487,106924227,106908617
6581,106924227,106919027
6675,106924227,106910699
6769,106924227,106916945
6863,106924227,106924227
6957,106924227,106913817
7051,106924227,106922145
7145,106924227,106915899
7239,106924227,106908617
7333,106924227,106919027
7427,106924227,106910699
7521,106924227,106916945
7615,106924227,106924227
7709,106924227,106913817
7803,106924227,106922145
7897,106924227,106915899
7991,106924227,106908617
8085,106924227,106919027
8179,106924227,106910699
8273,106924227,106916945
8367,106924227,106924227
8461,106924227,106913817
8555,106924227,106922145
8649,106924227,106915899
8743,106924227,106908617
8837,106924227,106919027
8931,106924227,106910699
9025,106924227,106916945
9119,106924227,106924227
9213,106924227,106913817
9307,106924227,106922145
9401,106924227,106915899
9433,106924227,106915899
