i,s_i,w_i
0,0,0
1,395124,395124
2,782604,782604
3,1009448,1009448
4,1095312,1095312
5,1103484,1103484
6,1103484,1103505
7,1103484,1103809
8,1103484,1104113
9,1103484,708989
10,1103484,879833
11,1103484,1036673
12,1103484,1102161
13,1103484,1102475
14,1103484,1102454
15,1103484,1102150
16,1103484,1102785
17,1103484,1102481
18,1103484,1102795
19,1103484,1094623
20,1103484,1102523
51,1103484,1037101
101,1103484,1037301
151,1103484,1037101
201,1103484,1037301
251,1103484,1037101
301,1103484,1037301
351,1103484,1037101
401,1103484,1037301
451,1103484,1037101
501,1103484,1037301
551,1103484,1037101
601,1103484,1037301
651,1103484,1037101
701,1103484,1037301
751,1103484,1037101
801,1103484,1037301
851,1103484,1037101
901,1103484,1037301
951,1103484,1037101
1001,1103484,1037301
1051,1103484,1037101
1101,1103484,1037301
1151,1103484,1037101
1201,1103484,1037301
1251,1103484,1037101
1301,1103484,1037301
1351,1103484,1037101
1401,1103484,1037301
1451,1103484,1037101
1501,1103484,1037301
1551,1103484,1037101
1601,1103484,1037301
1651,1103484,1037101
1701,1103484,1037301
1751,1103484,1037101
1801,1103484,1037301
1851,1103484,1037101
1901,1103484,1037301
1951,1103484,1037101
2001,1103484,1037301
2051,1103484,1037101
2101,1103484,1037301
2151,1103484,1037101
2201,1103484,1037301
2251,1103484,1037101
2301,1103484,1037301
2351,1103484,1037101
2401,1103484,1037301
2451,1103484,1037101
2501,1103484,1037301
2551,1103484,1037101
2601,1103484,1037301
2651,1103484,1037101
2701,1103484,1037301
2751,1103484,1037101
2801,1103484,1037301
2851,1103484,1037101
2901,1103484,1037301
2951,1103484,1037101
3001,1103484,1037301
3051,1103484,1037101
3101,1103484,1037301
3151,1103484,1037101
3201,1103484,1037301
3251,1103484,1037101
3301,1103484,1037301
3351,1103484,1037101
3401,1103484,1037301
3451,1103484,1037101
3501,1103484,1037301
3551,1103484,1037101
3601,1103484,1037301
3651,1103484,1037101
3701,1103484,1037301
3751,1103484,1037101
3801,1103484,1037301
3851,1103484,1037101
3901,1103484,1037301
3951,1103484,1037101
4001,1103484,1037301
4051,1103484,1037101
4101,1103484,1037301
4151,1103484,1037101
4201,1103484,1037301
4251,1103484,1037101
4301,1103484,1037301
4351,1103484,1037101
4401,1103484,1037301
4451,1103484,1037101
4501,1103484,1037301
4551,1103484,1037101
4601,1103484,1037301
4651,1103484,1037101
4701,1103484,1037301
4751,1103484,1037101
4801,1103484,1037301
4851,1103484,1037101
4901,1103484,1037301
4951,1103484,1037101
5000,1103484,1102789
