i,s_i,w_i
0,0,0
1,96601,96601
2,141737,141737
3,142156,142156
4,142156,142223
5,142156,142326
6,142156,142543
7,142156,45942
8,142156,123116
9,142156,139610
10,142156,140923
11,142156,140856
12,142156,141301
13,142156,141198
14,142156,140981
15,142156,141473
16,142156,141054
17,142156,141402
18,142156,140957
19,142156,141270
20,142156,139957
201,142156,140672
401,142156,141199
601,142156,140778
801,142156,141191
1001,142156,140871
1201,142156,141199
1401,142156,140887
1601,142156,141156
1801,142156,140839
2001,142156,141132
2201,142156,140989
2401,142156,141056
2601,142156,141050
2801,142156,140918
3001,142156,141167
3201,142156,140849
3401,142156,141156
3601,142156,140672
3801,142156,141199
4001,142156,140778
4201,142156,141191
4401,142156,140871
4601,142156,141199
4801,142156,140887
5001,142156,141156
5201,142156,140839
5401,142156,141132
5601,142156,140989
5801,142156,141056
6001,142156,141050
6201,142156,140918
6401,142156,141167
6601,142156,140849
6801,142156,141156
7001,142156,140672
7201,142156,141199
7401,142156,140778
7601,142156,141191
7801,142156,140871
8001,142156,141199
8201,142156,140887
8401,142156,141156
8601,142156,140839
8801,142156,141132
9001,142156,140989
9201,142156,141056
9401,142156,141050
9601,142156,140918
9801,142156,141167
10001,142156,140849
10201,142156,141156
10401,142156,140672
10601,142156,141199
10801,142156,140778
11001,142156,141191
11201,142156,140871
11401,142156,141199
11601,142156,140887
11801,142156,141156
12001,142156,140839
12201,142156,141132
12401,142156,140989
12601,142156,141056
12801,142156,141050
13001,142156,140918
13201,142156,141167
13401,142156,140849
13601,142156,141156
13801,142156,140672
14001,142156,141199
14201,142156,140778
14401,142156,141191
14601,142156,140871
14801,142156,141199
15001,142156,140887
15201,142156,141156
15401,142156,140839
15601,142156,141132
15801,142156,140989
16001,142156,141056
16201,142156,141050
16401,142156,140918
16601,142156,141167
16801,142156,140849
17001,142156,141156
17201,142156,140672
17401,142156,141199
17601,142156,140778
17801,142156,141191
18001,142156,140871
18201,142156,141199
18401,142156,140887
18601,142156,141156
18801,142156,140839
19001,142156,141132
19201,142156,140989
19401,142156,141056
19601,142156,141050
19801,142156,140918
20000,142156,141270
