i,s_i,w_i
0,0,0
1,90001,90001
2,90001,100003
3,90001,110257
4,90001,120763
5,90001,131521
6,90001,142531
7,90001,153793
8,90001,165307
9,90001,75306
10,99924,99924
11,99924,89922
12,99924,79668
13,100002,100002
14,100002,89496
15,100002,78738
16,100080,100080
17,100080,89070
18,100080,77808
19,100158,100158
20,100158,88644
51,100158,100158
101,100158,100158
151,100158,100158
201,100158,100158
251,100158,100158
301,100158,99906
351,100158,100158
401,100158,99906
451,100158,100158
501,100158,99906
551,100158,100158
601,100158,99906
651,100158,100158
701,100158,99906
751,100158,100158
801,100158,99906
851,100158,100158
901,100158,99906
951,100158,100158
1001,100158,99906
1051,100158,100158
1101,100158,99906
1151,100158,100158
1201,100158,99906
1251,100158,100158
1301,100158,99906
1351,100158,100158
1401,100158,99906
1451,100158,100158
1501,100158,99906
1551,100158,100158
1601,100158,99906
1651,100158,100158
1701,100158,99906
1751,100158,100158
1801,100158,99906
1851,100158,100158
1901,100158,99906
1951,100158,100158
2001,100158,99906
2051,100158,100158
2101,100158,99906
2151,100158,100158
2201,100158,99906
2251,100158,100158
2301,100158,99906
2351,100158,100158
2401,100158,99906
2451,100158,100158
2501,100158,99906
2551,100158,100158
2601,100158,99906
2651,100158,100158
2701,100158,99906
2751,100158,100158
2801,100158,99906
2851,100158,100158
2901,100158,99906
2951,100158,100158
3001,100158,99906
3051,100158,100158
3101,100158,99906
3151,100158,100158
3201,100158,99906
3251,100158,100158
3301,100158,99906
3351,100158,100158
3401,100158,99906
3451,100158,100158
3501,100158,99906
3551,100158,100158
3601,100158,99906
3651,100158,100158
3701,100158,99906
3751,100158,100158
3801,100158,99906
3851,100158,100158
3901,100158,99906
3951,100158,100158
4001,100158,99906
4051,100158,100158
4101,100158,99906
4151,100158,100158
4201,100158,99906
4251,100158,100158
4301,100158,99906
4351,100158,100158
4401,100158,99906
4451,100158,100158
4501,100158,99906
4551,100158,100158
4601,100158,99906
4651,100158,100158
4701,100158,99906
4751,100158,100158
4801,100158,99906
4851,100158,100158
4901,100158,99906
4951,100158,100158
5000,100158,85116
