i,s_i,w_i
0,0,0
1,90000,90000
2,90000,100001
3,90000,110253
4,90000,120756
5,90000,131510
6,90000,142515
7,90000,52515
8,90000,69544
9,90000,86322
10,99837,99837
11,99837,89836
12,99837,79584
13,99837,96111
14,99837,85608
15,99837,99625
16,99837,88871
17,99837,98872
18,99837,87867
19,99837,99625
20,99837,86110
167,99837,81631
333,99837,80627
499,99837,79623
665,99837,80376
831,99837,81129
997,99837,81882
1163,99837,82635
1329,99837,81631
1495,99837,80627
1661,99837,79623
1827,99837,80376
1993,99837,81129
2159,99837,81882
2325,99837,82635
2491,99837,81631
2657,99837,80627
2823,99837,79623
2989,99837,80376
3155,99837,81129
3321,99837,81882
3487,99837,82635
3653,99837,81631
3819,99837,80627
3985,99837,79623
4151,99837,80376
4317,99837,81129
4483,99837,81882
4649,99837,82635
4815,99837,81631
4981,99837,80627
5147,99837,79623
5313,99837,80376
5479,99837,81129
5645,99837,81882
5811,99837,82635
5977,99837,81631
6143,99837,80627
6309,99837,79623
6475,99837,80376
6641,99837,81129
6807,99837,81882
6973,99837,82635
7139,99837,81631
7305,99837,80627
7471,99837,79623
7637,99837,80376
7803,99837,81129
7969,99837,81882
8135,99837,82635
8301,99837,81631
8467,99837,80627
8633,99837,79623
8799,99837,80376
8965,99837,81129
9131,99837,81882
9297,99837,82635
9463,99837,81631
9629,99837,80627
9795,99837,79623
9961,99837,80376
10127,99837,81129
10293,99837,81882
10459,99837,82635
10625,99837,81631
10791,99837,80627
10957,99837,79623
11123,99837,80376
11289,99837,81129
11455,99837,81882
11621,99837,82635
11787,99837,81631
11953,99837,80627
12119,99837,79623
12285,99837,80376
12451,99837,81129
12617,99837,81882
12783,99837,82635
12949,99837,81631
13115,99837,80627
13281,99837,79623
13447,99837,80376
13613,99837,81129
13779,99837,81882
13945,99837,82635
14111,99837,81631
14277,99837,80627
14443,99837,79623
14609,99837,80376
14775,99837,81129
14941,99837,81882
15107,99837,82635
15273,99837,81631
15439,99837,80627
15605,99837,79623
15771,99837,80376
15937,99837,81129
16103,99837,81882
16269,99837,82635
16435,99837,81631
16601,99837,80627
16666,99837,96401
