i,s_i,w_i
0,0,0
1,10738,10738
2,21465,21465
3,32084,32084
4,42668,42668
5,53185,53185
6,54408,54408
7,54408,54408
8,54408,54420
9,54408,54522
10,54408,43784
11,54408,54280
12,54408,43661
13,54408,54171
14,54408,54318
15,54408,53095
16,54408,54233
17,54408,54233
18,54408,54221
19,54408,54119
20,54408,54253
21,54408,43757
41,54408,54075
61,54408,54162
81,54408,53923
101,54408,54245
121,54408,54246
141,54408,54259
161,54408,54209
181,54408,54227
201,54408,54199
221,54408,54185
241,54408,54198
261,54408,54195
281,54408,54178
301,54408,54239
321,54408,54236
341,54408,54149
361,54408,54255
381,54408,54275
401,54408,54262
421,54408,54145
441,54408,54237
461,54408,54195
481,54408,54208
501,54408,54198
521,54408,54171
541,54408,54171
561,54408,54176
581,54408,54182
601,54408,54167
621,54408,54126
641,54408,54174
661,54408,53966
681,54408,53920
701,54408,53940
721,54408,53917
741,54408,54019
761,54408,54144
781,54408,54191
801,54408,54185
821,54408,54185
841,54408,54185
861,54408,54185
881,54408,54185
901,54408,54185
921,54408,54185
941,54408,54185
961,54408,54185
981,54408,54185
1001,54408,54185
1021,54408,54185
1041,54408,54185
1061,54408,54185
1081,54408,54185
1101,54408,54185
1121,54408,54185
1141,54408,54185
1161,54408,54185
1181,54408,54185
1201,54408,54185
1221,54408,54185
1241,54408,54185
1261,54408,54185
1281,54408,54185
1301,54408,54185
1321,54408,54185
1341,54408,54185
1361,54408,54185
1381,54408,54185
1401,54408,54185
1421,54408,54185
1441,54408,54185
1461,54408,54185
1481,54408,54185
1501,54408,54185
1521,54408,54185
1541,54408,54185
1561,54408,54185
1581,54408,54185
1601,54408,54185
1621,54408,54185
1641,54408,54185
1661,54408,54185
1681,54408,54185
1701,54408,54185
1721,54408,54185
1741,54408,54185
1761,54408,54185
1781,54408,54185
1801,54408,54185
1821,54408,54185
1841,54408,54185
1861,54408,54185
1881,54408,54185
1901,54408,54185
1921,54408,54185
1941,54408,54185
1961,54408,54185
1981,54408,54185
2000,54408,53930
