i,s_i,w_i
0,0,0
1,94701568,94701568
2,103157248,103157248
3,104636960,104636960
4,104716236,104716236
5,104716236,104729447
6,104716236,104742659
7,104716236,104769081
8,104716236,10067513
9,104716236,91246137
10,104716236,103083833
11,104716236,104352249
12,104722177,104722177
13,104722177,104708966
14,104722177,104695754
15,104722178,104722178
16,104722178,104695756
17,104722178,104616480
18,104722178,104722176
19,104722178,104352248
20,104722178,104669352
21,104722200,104722200
122,104722200,104616374
243,104722200,104722036
364,104722200,104669214
485,104722200,104722040
606,104722200,104695636
727,104722200,104722038
848,104722200,104404956
969,104722200,104722070
1090,104722200,104616340
1211,104722200,104722062
1332,104722200,104669192
1453,104722200,104722058
1574,104722200,104695616
1695,104722200,104722060
1816,104722200,104404966
1937,104722200,104722028
2058,104722200,104616374
2179,104722200,104722036
2300,104722200,104669214
2421,104722200,104722040
2542,104722200,104695636
2663,104722200,104722038
2784,104722200,104404956
2905,104722200,104722070
3026,104722200,104616340
3147,104722200,104722062
3268,104722200,104669192
3389,104722200,104722058
3510,104722200,104695616
3631,104722200,104722060
3752,104722200,104404966
3873,104722200,104722028
3994,104722200,104616374
4115,104722200,104722036
4236,104722200,104669214
4357,104722200,104722040
4478,104722200,104695636
4599,104722200,104722038
4720,104722200,104404956
4841,104722200,104722070
4962,104722200,104616340
5083,104722200,104722062
5204,104722200,104669192
5325,104722200,104722058
5446,104722200,104695616
5567,104722200,104722060
5688,104722200,104404966
5809,104722200,104722028
5930,104722200,104616374
6051,104722200,104722036
6172,104722200,104669214
6293,104722200,104722040
6414,104722200,104695636
6535,104722200,104722038
6656,104722200,104404956
6777,104722200,104722070
6898,104722200,104616340
7019,104722200,104722062
7140,104722200,104669192
7261,104722200,104722058
7382,104722200,104695616
7503,104722200,104722060
7624,104722200,104404966
7745,104722200,104722028
7866,104722200,104616374
7987,104722200,104722036
8108,104722200,104669214
8229,104722200,104722040
8350,104722200,104695636
8471,104722200,104722038
8592,104722200,104404956
8713,104722200,104722070
8834,104722200,104616340
8955,104722200,104722062
9076,104722200,104669192
9197,104722200,104722058
9318,104722200,104695616
9439,104722200,104722060
9560,104722200,104404966
9681,104722200,104722028
9802,104722200,104616374
9923,104722200,104722036
10044,104722200,104669214
10165,104722200,104722040
10286,104722200,104695636
10407,104722200,104722038
10528,104722200,104404956
10649,104722200,104722070
10770,104722200,104616340
10891,104722200,104722062
11012,104722200,104669192
11133,104722200,104722058
11254,104722200,104695616
11375,104722200,104722060
11496,104722200,104404966
11617,104722200,104722028
11738,104722200,104616374
11859,104722200,104722036
11980,104722200,104669214
12101,104722200,104722040
12195,104722200,104722036
