i,s_i,w_i
0,0,0
1,90001,90001
2,90001,100003
3,90001,110257
4,90001,120763
5,90001,131521
6,90001,142531
7,90001,52530
8,90001,67068
9,90001,81354
10,95388,95388
11,95388,85386
12,99168,99168
13,99168,88914
14,99168,78408
15,99168,91938
16,99168,81180
17,99168,94458
18,99168,83448
19,99168,96474
20,99168,82692
251,99168,94206
501,99168,93450
751,99168,94458
1001,99168,95466
1251,99168,96474
1501,99168,95718
1751,99168,94962
2001,99168,94206
2251,99168,93450
2501,99168,94458
2751,99168,95466
3001,99168,96474
3251,99168,95718
3501,99168,94962
3751,99168,94206
4001,99168,93450
4251,99168,94458
4501,99168,95466
4751,99168,96474
5001,99168,95718
5251,99168,94962
5501,99168,94206
5751,99168,93450
6001,99168,94458
6251,99168,95466
6501,99168,96474
6751,99168,95718
7001,99168,94962
7251,99168,94206
7501,99168,93450
7751,99168,94458
8001,99168,95466
8251,99168,96474
8501,99168,95718
8751,99168,94962
9001,99168,94206
9251,99168,93450
9501,99168,94458
9751,99168,95466
10001,99168,96474
10251,99168,95718
10501,99168,94962
10751,99168,94206
11001,99168,93450
11251,99168,94458
11501,99168,95466
11751,99168,96474
12001,99168,95718
12251,99168,94962
12501,99168,94206
12751,99168,93450
13001,99168,94458
13251,99168,95466
13501,99168,96474
13751,99168,95718
14001,99168,94962
14251,99168,94206
14501,99168,93450
14751,99168,94458
15001,99168,95466
15251,99168,96474
15501,99168,95718
15751,99168,94962
16001,99168,94206
16251,99168,93450
16501,99168,94458
16751,99168,95466
17001,99168,96474
17251,99168,95718
17501,99168,94962
17751,99168,94206
18001,99168,93450
18251,99168,94458
18501,99168,95466
18751,99168,96474
19001,99168,95718
19251,99168,94962
19501,99168,94206
19751,99168,93450
20001,99168,94458
20251,99168,95466
20501,99168,96474
20751,99168,95718
21001,99168,94962
21251,99168,94206
21501,99168,93450
21751,99168,94458
22001,99168,95466
22251,99168,96474
22501,99168,95718
22751,99168,94962
23001,99168,94206
23251,99168,93450
23501,99168,94458
23751,99168,95466
24001,99168,96474
24251,99168,95718
24501,99168,94962
24751,99168,94206
25000,99168,81180
