i,s_i,w_i
0,0,0
1,395124,395124
2,782604,782604
3,1018984,1018984
4,1245828,1245828
5,1416672,1416672
6,1583188,1583188
7,1687224,1687224
8,1688432,1688432
9,1688432,1688453
10,1688432,1293329
11,1688432,1450169
12,1688432,1588201
13,1688432,1674065
14,1688432,1687821
15,1688432,1521305
16,1688432,1654173
17,1688432,1687329
18,1688432,1687643
19,1688432,1687622
20,1688432,1686414
34,1688432,1687304
67,1688432,1686996
100,1688432,1686735
133,1688432,1687053
166,1688432,1686682
199,1688432,1687049
232,1688432,1685845
265,1688432,1686996
298,1688432,1686152
331,1688432,1687000
364,1688432,1686682
397,1688432,1687053
430,1688432,1686686
463,1688432,1686996
496,1688432,1686739
529,1688432,1687000
562,1688432,1685841
595,1688432,1687053
628,1688432,1686099
661,1688432,1687049
694,1688432,1686739
727,1688432,1686996
760,1688432,1686735
793,1688432,1687053
826,1688432,1686682
859,1688432,1687049
892,1688432,1685845
925,1688432,1686996
958,1688432,1686152
991,1688432,1687000
1024,1688432,1686682
1057,1688432,1687053
1090,1688432,1686686
1123,1688432,1686996
1156,1688432,1686739
1189,1688432,1687000
1222,1688432,1685841
1255,1688432,1687053
1288,1688432,1686099
1321,1688432,1687049
1354,1688432,1686739
1387,1688432,1686996
1420,1688432,1686735
1453,1688432,1687053
1486,1688432,1686682
1519,1688432,1687049
1552,1688432,1685845
1585,1688432,1686996
1618,1688432,1686152
1651,1688432,1687000
1684,1688432,1686682
1717,1688432,1687053
1750,1688432,1686686
1783,1688432,1686996
1816,1688432,1686739
1849,1688432,1687000
1882,1688432,1685841
1915,1688432,1687053
1948,1688432,1686099
1981,1688432,1687049
2014,1688432,1686739
2047,1688432,1686996
2080,1688432,1686735
2113,1688432,1687053
2146,1688432,1686682
2179,1688432,1687049
2212,1688432,1685845
2245,1688432,1686996
2278,1688432,1686152
2311,1688432,1687000
2344,1688432,1686682
2377,1688432,1687053
2410,1688432,1686686
2443,1688432,1686996
2476,1688432,1686739
2509,1688432,1687000
2542,1688432,1685841
2575,1688432,1687053
2608,1688432,1686099
2641,1688432,1687049
2674,1688432,1686739
2707,1688432,1686996
2740,1688432,1686735
2773,1688432,1687053
2806,1688432,1686682
2839,1688432,1687049
2872,1688432,1685845
2905,1688432,1686996
2938,1688432,1686152
2971,1688432,1687000
3004,1688432,1686682
3037,1688432,1687053
3070,1688432,1686686
3103,1688432,1686996
3136,1688432,1686739
3169,1688432,1687000
3202,1688432,1685841
3235,1688432,1687053
3268,1688432,1686099
3301,1688432,1687049
3333,1688432,1687053
