i,s_i,w_i
0,0,0
1,1445900,1445900
2,2863628,2863628
3,3425900,3425900
4,3926960,3926960
5,3966804,3966804
6,3966825,3966825
7,3966825,3967129
8,3966825,3967433
9,3966825,3967737
10,3966825,2521837
11,3966825,3887657
12,3966825,3963373
13,3966825,3966293
14,3966825,3926449
15,3966825,3966077
16,3966825,3966056
17,3966825,3965752
18,3966825,3966453
19,3966825,3966149
20,3966825,3966463
26,3966825,3966005
51,3966825,3966030
76,3966825,3966009
101,3966825,3966026
126,3966825,3965712
151,3966825,3965691
176,3966825,3965712
201,3966825,3965108
226,3966825,3966009
251,3966825,3966030
276,3966825,3966009
301,3966825,3966030
326,3966825,3966005
351,3966825,3965691
376,3966825,3965712
401,3966825,3965691
426,3966825,3965129
451,3966825,3966030
476,3966825,3966009
501,3966825,3966030
526,3966825,3966009
551,3966825,3966026
576,3966825,3965712
601,3966825,3965691
626,3966825,3965712
651,3966825,3965108
676,3966825,3966009
701,3966825,3966030
726,3966825,3966009
751,3966825,3966030
776,3966825,3966005
801,3966825,3965691
826,3966825,3965712
851,3966825,3965691
876,3966825,3965129
901,3966825,3966030
926,3966825,3966009
951,3966825,3966030
976,3966825,3966009
1001,3966825,3966026
1026,3966825,3965712
1051,3966825,3965691
1076,3966825,3965712
1101,3966825,3965108
1126,3966825,3966009
1151,3966825,3966030
1176,3966825,3966009
1201,3966825,3966030
1226,3966825,3966005
1251,3966825,3965691
1276,3966825,3965712
1301,3966825,3965691
1326,3966825,3965129
1351,3966825,3966030
1376,3966825,3966009
1401,3966825,3966030
1426,3966825,3966009
1451,3966825,3966026
1476,3966825,3965712
1501,3966825,3965691
1526,3966825,3965712
1551,3966825,3965108
1576,3966825,3966009
1601,3966825,3966030
1626,3966825,3966009
1651,3966825,3966030
1676,3966825,3966005
1701,3966825,3965691
1726,3966825,3965712
1751,3966825,3965691
1776,3966825,3965129
1801,3966825,3966030
1826,3966825,3966009
1851,3966825,3966030
1876,3966825,3966009
1901,3966825,3966026
1926,3966825,3965712
1951,3966825,3965691
1976,3966825,3965712
2001,3966825,3965108
2026,3966825,3966009
2051,3966825,3966030
2076,3966825,3966009
2101,3966825,3966030
2126,3966825,3966005
2151,3966825,3965691
2176,3966825,3965712
2201,3966825,3965691
2226,3966825,3965129
2251,3966825,3966030
2276,3966825,3966009
2301,3966825,3966030
2326,3966825,3966009
2351,3966825,3966026
2376,3966825,3965712
2401,3966825,3965691
2426,3966825,3965712
2451,3966825,3965108
2476,3966825,3966009
2500,3966825,3965716
